Cell_Type,LogReg,Random Forest,SVM,XGBoost
B cells,0.8872549019607843,0.9411764705882353,0.9411764705882353,0.9411764705882353
CD4+ T cells,0.5572687224669604,0.44713656387665196,0.6299559471365639,0.5903083700440529
CD8+ T cells,0.6844444444444444,0.7422222222222222,0.6755555555555556,0.6533333333333333
Dendritic cells,0.6853932584269663,0.6067415730337079,0.651685393258427,0.6292134831460674
Monocytes,0.8772935779816514,0.8830275229357798,0.8864678899082569,0.9139908256880734
NK cells,0.6583333333333333,0.7083333333333334,0.7166666666666667,0.6583333333333333
T cells,0.5683760683760684,0.4188034188034188,0.5427350427350427,0.5726495726495726
