Model,Test_Accuracy_pct,Train_BalAcc,CV_BalAcc,Overfitting_Score,Verdict
LogReg,74.07,0.7774738493218347,0.706219474508943,0.07125437481289176,Mild
Random Forest,71.75,0.7429215810816981,0.6859699838347098,0.056951597246988395,Mild
XGBoost,78.34,0.8388443857596062,0.6744548825044542,0.164389503255152,Moderate
SVM,76.48,0.8328447352079476,0.7280396285229757,0.1048051066849719,Moderate
