Cell_Type,TF_motif,Mean_in_class,Mean_other,Cohens_d,RankBiserial_AUC,p_value,n_in_class,FDR,Significant,Assoc_Strength
B cells,SCRT1,1.0657858571681078,-0.15120432165789358,0.9759652507512718,0.7668780504855941,6.694448134291144e-140,818,6.269846562810641e-139,True,0.9759652507512718
B cells,MEF2C,0.9892918666199696,-0.10267706972498064,0.9709579052325025,0.7691968641360706,2.6251879047508397e-142,818,2.5109953339531673e-141,True,0.9709579052325025
B cells,MYOG,0.9956184595578974,-0.14496262761203088,0.958782714103603,0.7796104454391197,2.2679611495322888e-153,818,2.317214851264556e-152,True,0.958782714103603
B cells,MYF6,0.8479267831044286,-0.11491030964919721,0.9078658835953005,0.7413733999802536,8.43342238834705e-115,818,6.549256618666443e-114,True,0.9078658835953005
B cells,BHLHE22(var.2),0.8541833871565323,-0.11606815239491479,0.9000386430250522,0.7545188120560525,2.00682896397264e-127,818,1.727580848560277e-126,True,0.9000386430250522
B cells,IRF5,0.8746505923339953,-0.11902793046409683,0.8776340607613428,0.726839305984057,1.2790920046600116e-101,818,9.000358697138099e-101,True,0.8776340607613428
B cells,IRF7,0.93944820067593,-0.12440469740204885,0.8590136363471715,0.7146188130985606,3.6221341872155096e-91,818,2.356134231748224e-90,True,0.8590136363471715
B cells,MYF5,0.8363458193576376,-0.09927762530462428,0.8224722645157992,0.7322804309605239,1.8527377110601307e-106,818,1.3580030396647262e-105,True,0.8224722645157992
B cells,BHLHA15(var.2),0.769895307323324,-0.10440707035704361,0.7714475426180185,0.7232529253079845,1.7140228408992514e-98,818,1.1774085593002328e-97,True,0.7714475426180185
B cells,PKNOX2,0.72841507829128,-0.10186019332129102,0.7577297460399705,0.707931431185583,1.08337249140867e-85,818,6.785332972506934e-85,True,0.7577297460399705
B cells,ZBTB18,0.6993077003763656,-0.08040811015070629,0.7462854387872526,0.7115662578195762,1.2019198795841012e-88,818,7.743579351588015e-88,True,0.7462854387872526
B cells,RELB,0.770409210185773,-0.052531470089927125,0.7433939816327634,0.7020303762288562,5.290536462805877e-81,818,3.1853438286477052e-80,True,0.7433939816327634
B cells,SCRT2,0.7163087000932709,-0.10937762536725051,0.7096471835169128,0.7019610801118304,5.99462200530987e-81,818,3.60389905400947e-80,True,0.7096471835169128
B cells,PHOX2B,0.5608468789003822,-0.06529999194056861,0.6850566950119403,0.6851009668954665,2.6906920711491213e-68,818,1.423077139852202e-67,True,0.6850566950119403
B cells,BARX2,0.5778440872566555,-0.06835459454466865,0.6521002068002879,0.6810857781677984,1.9116411649404845e-65,818,9.827827386720712e-65,True,0.6521002068002879
B cells,ZBTB7B,0.5574842531955717,-0.11869065743623737,0.6452071673756986,0.6824667945885252,2.0306383767176938e-66,818,1.0519798812035581e-65,True,0.6452071673756986
B cells,ATOH1(var.2),0.6170770359803002,-0.07983947959164259,0.6336546044980653,0.6829138465293377,9.791192972699551e-67,818,5.098477061459766e-66,True,0.6336546044980653
B cells,MEIS1(var.2),0.5586471055130006,-0.06124032947098264,0.6219515301694797,0.6699484203858138,7.344293115631552e-58,818,3.443610171089886e-57,True,0.6219515301694797
B cells,NRF1,0.466251582871411,-0.17165606609210374,0.6083075927146151,0.6809853601221083,2.248671068919772e-65,818,1.1516611575758733e-64,True,0.6083075927146151
B cells,VSX1,0.5491087569996316,-0.06758223519449587,0.6036261584555401,0.6639883410816204,5.35211777543808e-54,818,2.384875387601594e-53,True,0.6036261584555401
B cells,TWIST1,0.5733590884964098,-0.055116970146288455,0.6031825022355743,0.6720372690461605,3.0188850411383296e-59,818,1.4403784052412359e-58,True,0.6031825022355743
B cells,ZBTB7C,0.5014853697519757,-0.10334035456579958,0.6029116243557687,0.6669748197534408,6.4589711338767515e-56,818,2.956221403582052e-55,True,0.6029116243557687
B cells,HAND2,0.5432159203521201,-0.05911961508363757,0.5834112686696741,0.6675029726807724,2.933126823997504e-56,818,1.3439899354353228e-55,True,0.5834112686696741
B cells,VAX1,0.5201372397204256,-0.06750940131831824,0.5728548979380833,0.6588253204332173,9.204290627524312e-51,818,3.915936895790049e-50,True,0.5728548979380833
B cells,HOXB13,0.46088471676527304,-0.044616954366294294,0.554896996431648,0.6522355969860482,8.79961398602367e-47,818,3.5567670516934834e-46,True,0.554896996431648
B cells,MEIS2(var.2),0.5147154134656459,-0.057603895706936775,0.5544950732357946,0.6528888508680105,3.6085470544436887e-47,818,1.4703103104007215e-46,True,0.5544950732357946
B cells,IRF6,0.5077787949277238,-0.06644991201353823,0.5512519613077471,0.6479065827018494,2.9405733947917614e-44,818,1.1266628745575252e-43,True,0.5512519613077471
B cells,EGR2,0.44560337243427783,-0.10961195293644482,0.5484356903717347,0.6577516905492975,4.2063438230857223e-50,818,1.7783560196661267e-49,True,0.5484356903717347
B cells,CTCFL,0.4232055051293841,-0.11872133722359791,0.5452276366277536,0.6621587396201469,7.70558119448154e-53,818,3.370462866256466e-52,True,0.5452276366277536
B cells,TAL1::TCF3,0.51580832116735,-0.06173491264655241,0.5445593135974482,0.6625835616119136,4.1591914361944516e-53,818,1.8311304190253267e-52,True,0.5445593135974482
B cells,LBX1,0.48912482124937573,-0.05085106889292684,0.5430860686883789,0.6447324525980831,1.876094024575762e-42,818,6.9960151368051e-42,True,0.5430860686883789
B cells,POU4F2,0.4628099529898614,-0.06442426648430578,0.5388207690335485,0.6501369364861227,1.5033527500888178e-45,818,5.940005104354841e-45,True,0.5388207690335485
B cells,HINFP,0.4095346345435088,-0.09901119261811056,0.5307192969877492,0.6498474872185458,2.216828841336926e-45,818,8.733485386610714e-45,True,0.5307192969877492
B cells,MNX1,0.4637444148577114,-0.04874543260296856,0.5292073276975123,0.6469917819711127,9.830285307826322e-44,818,3.727585225441921e-43,True,0.5292073276975123
B cells,TBX4,0.68708032689121,-0.09477379938110708,0.5226305504900131,0.6703278626195281,4.124881327397684e-58,818,1.9496810573190455e-57,True,0.5226305504900131
B cells,ZNF384,0.37471640437582576,-0.04654307933834751,0.5058252427683622,0.640984483188946,2.2619179547414143e-40,818,8.163889424517183e-40,True,0.5058252427683622
B cells,KLF15,0.2247396697797105,-0.05917009028342857,0.5019977806276351,0.6443629755139411,3.0256790850146876e-42,818,1.1262095287920356e-41,True,0.5019977806276351
B cells,DLX6,0.45647603872914705,-0.039878798645769896,0.491319778980491,0.6336116522953879,1.954130565230143e-36,818,6.58319089668706e-36,False,0.0
B cells,EGR3,0.38009653709596763,-0.1079514448952621,0.4884686984424424,0.6431157987174699,1.5052078196711604e-41,818,5.531399489908733e-41,False,0.0
B cells,EGR1,0.3300491368897055,-0.10922909023352971,0.48727337480203253,0.6433109623390935,1.172079561481872e-41,818,4.3229114911172785e-41,False,0.0
B cells,ONECUT1,0.42457697716561044,-0.05220914283492562,0.47735136458084254,0.6356450027381165,1.6833666455821091e-37,818,5.791582863967019e-37,False,0.0
