Feature_Set,n_features,CV_BalAcc,CV_Macro_F1
ATAC_chromVAR_TF,633,0.7148182701631189,0.679596445061584
RNA_only,2000,0.8331187312431869,0.8156588290728565
ATAC_peak_LSI,29,0.8591269314720972,0.8366100974282252
