Model,TF_motif,Cell_Type,Cohens_d,RankBiserial_AUC,FDR
SVM,ATF7,Monocytes,1.2730495944177425,0.8173716366190507,0.0
SVM,CEBPG(var.2),Monocytes,3.4422759821470756,0.9830079844886138,0.0
SVM,CREM,Monocytes,1.2088059923611243,0.804547570874717,0.0
SVM,EGR4,CD4+ T cells,0.673602865187435,0.6909680857659838,2.780884595118267e-138
SVM,EGR4,CD8+ T cells,0.7733379775534432,0.7197111872407029,1.030372880059631e-102
SVM,ELF3,Dendritic cells,0.8665756525396264,0.7198692391427751,2.7138740735055656e-44
SVM,ELF3,Monocytes,1.6121499124872785,0.8816939995882546,0.0
SVM,FOS,Monocytes,2.2851987680544066,0.9410249218462113,0.0
SVM,FOSL1::JUN(var.2),Monocytes,1.2454180680803586,0.8103194682082325,0.0
SVM,MAFK,Monocytes,2.54937202476421,0.9567490467573314,0.0
SVM,MEF2C,B cells,0.9579387776143237,0.7665906051505739,1.2352008648902697e-138
SVM,MEF2C,Monocytes,0.8842700956498425,0.7436744412458242,0.0
SVM,NR2F1,Monocytes,2.0143963151854636,0.9193550322908791,0.0
SVM,PAX9,B cells,1.9005987959190742,0.8909475040609245,1.723855462950916e-296
SVM,RARA,Monocytes,1.438117700146812,0.8457381207971254,0.0
SVM,RREB1,CD4+ T cells,0.5339638371506006,0.6557772656657606,1.7359519623931534e-92
SVM,RREB1,CD8+ T cells,0.6605175476034933,0.6928405169701551,1.8959693998307318e-79
SVM,RREB1,NK cells,0.6286979110353675,0.6836620747024701,3.416339624935558e-41
SVM,RREB1,T cells,0.8687839676313226,0.7444212400753673,2.513186367132797e-131
SVM,RUNX2,CD4+ T cells,0.851367110983068,0.7393492611845438,2.1932000536639325e-216
SVM,RUNX2,CD8+ T cells,0.6853037772465924,0.705764065421787,2.935717170289531e-90
SVM,RUNX2,NK cells,0.6253173494256711,0.681897138930359,1.9638485095218942e-40
SVM,RUNX2,T cells,0.9520942885068293,0.7697634969559014,1.1770989750505507e-159
SVM,TBX3,NK cells,1.6590196322700486,0.8802596442299384,7.814522158930673e-172
SVM,TBX3,T cells,1.2416699380535168,0.8002566245902175,1.9490361140437337e-197
SVM,TBX4,NK cells,1.3544308140991372,0.8539918140334873,4.110383448468031e-149
SVM,TBX4,T cells,1.277702830032005,0.8225504263916268,1.276670272955078e-227
SVM,TEF,Monocytes,2.1648467578163704,0.933753527084375,0.0
SVM,ZEB1,B cells,1.1626902024528043,0.8203761963129229,1.4471679301253886e-199
SVM,ZEB1,CD4+ T cells,0.9730663798337906,0.7690693492122768,4.378154419841406e-273
SVM,ZEB1,CD8+ T cells,0.9175959547436406,0.7627293446280528,2.963589806743606e-146
SVM,ZEB1,T cells,0.5013108673544376,0.6379970484768616,7.608938027179373e-43
SVM,ZIC5,CD4+ T cells,0.5281467629942543,0.650481024009471,2.123530367701084e-86
SVM,ZIC5,CD8+ T cells,0.627652396124986,0.6832794528827523,6.630195683749272e-72
SVM,ZSCAN4,CD4+ T cells,0.592297148443043,0.6723899838714691,5.953142311736462e-113
SVM,ZSCAN4,CD8+ T cells,0.6535537684695167,0.6883091414483866,7.965611490995831e-76
SVM,ZSCAN4,NK cells,0.7530000323657526,0.7112929768265214,4.8283930734416155e-54
SVM,ZSCAN4,T cells,0.6635663412394665,0.6907376901880915,1.5818526776762234e-80
