Model,Balanced_Acc,Macro_F1,Accuracy,Weighted_F1,Precision,Recall,AUC
LogReg,0.7026234724271727,0.6704845761604119,0.7397634212920837,0.748600842658125,0.7704303931084033,0.7397634212920837,0.9572166127471149
Random Forest,0.6782058721133356,0.6418767997222588,0.7138307552320291,0.7185907012620224,0.744812010540091,0.7138307552320291,0.9473112590051
XGBoost,0.7084293412546668,0.693256799245898,0.7611464968152867,0.7660874885998566,0.7769766744961668,0.7611464968152867,0.9565321692663457
SVM,0.7206061379783926,0.6958042698054908,0.7616014558689718,0.7680724488793041,0.7819974484080944,0.7616014558689718,0.961119330851529
