Rank,TF_motif,Importance
1,POU2F3,0.0805154
2,EOMES,0.05916209
3,POU5F1,0.05260395
4,TCF7L2,0.047350228
5,CEBPG(var.2),0.04546811
6,CEBPB,0.027225474
7,POU5F1B,0.025124768
8,SPIC,0.023411896
9,TBX21,0.020020468
10,TBX2,0.020014782
11,EHF,0.018529307
12,LEF1,0.0160369
13,FOS,0.015950516
14,POU2F1,0.014527554
15,ZKSCAN5,0.014437535
16,TBR1,0.011932247
17,HLF,0.011822003
18,ZEB1,0.010330933
19,TCF7,0.009747968
20,STAT1::STAT2,0.008843254
