Model,Accuracy,Precision,Recall,F1_Score,AUC
Random Forest,0.9725085910652921,0.9718485790650739,0.9725085910652921,0.9721274529418078,0.9983489534520463
XGBoost,0.9828178694158075,0.9826542300769106,0.9828178694158075,0.9824562856235941,0.9992395744445179
SVM,0.979381443298969,0.9799498859893371,0.979381443298969,0.9779622992058747,0.9976968506865413
