Cell_Type,Count,Proportion,Imbalance_Ratio
Monocytes,4360,0.39676039676039676,1.0
CD4+ T cells,2272,0.20675220675220676,1.9190140845070423
T cells,1169,0.10637910637910637,3.729683490162532
CD8+ T cells,1123,0.1021931021931022,3.8824577025823688
B cells,1022,0.093002093002093,4.26614481409002
NK cells,599,0.05450905450905451,7.278797996661102
Dendritic cells,444,0.04040404040404041,9.81981981981982
