Model,Training_Time_s,Prediction_Time_s,Test_Accuracy,Efficiency_Score,Speed_Rank,Accuracy_Rank,Efficiency_Rank
Random Forest,0.34496116638183594,0.10973405838012695,0.9474885844748858,2.74665288969401,1,3,1
Gradient Boosting,388.73736476898193,0.10986757278442383,0.9474885844748858,0.0024373488898808515,5,3,5
Logistic Regression,1.3872876167297363,0.07714462280273438,0.9748858447488584,0.7027279945358154,2,1,2
SVM,15.067777395248413,4.751079797744751,0.9178082191780822,0.06091198423647477,4,5,4
Neural Network,2.810880422592163,0.10607504844665527,0.9680365296803652,0.34438908247390065,3,2,3
