Model,Train_Accuracy,Test_Accuracy,CV_Mean,CV_Std,Overfitting_Score,Overfitting_Status
Random Forest,0.9980334316617503,0.9474885844748858,0.9518352168453589,0.012535270550769795,0.05054484718686447,Moderate Overfitting
Gradient Boosting,1.0,0.9474885844748858,0.947879841591809,0.010620829355208382,0.05251141552511418,Moderate Overfitting
Logistic Regression,1.0,0.9748858447488584,0.9714865256447407,0.005726989812879709,0.02511415525114158,Good Fit
SVM,1.0,0.9178082191780822,0.9262629189606877,0.005247679692963731,0.0821917808219178,Moderate Overfitting
Neural Network,1.0,0.9680365296803652,0.9636288998357964,0.005834417565024177,0.03196347031963476,Good Fit
