Model,Train_Accuracy,Test_Accuracy,CV_Mean,CV_Std,Overfitting_Score,Overfitting_Status
Random Forest,0.99706457925636,0.9387755102040817,0.9471544715447155,0.012581813843759174,0.058289069052278375,Moderate Overfitting
Gradient Boosting,1.0,0.9365079365079365,0.9412721186035389,0.019371326675534824,0.06349206349206349,Moderate Overfitting
Logistic Regression,1.0,0.9659863945578231,0.9657436633189862,0.00823707413369133,0.03401360544217691,Good Fit
SVM,0.9980430528375733,0.9115646258503401,0.91974175035868,0.012756632492653025,0.08647842698723318,Moderate Overfitting
Neural Network,1.0,0.9659863945578231,0.9657436633189862,0.00823707413369133,0.03401360544217691,Good Fit
