TF,CellType,MeanExpression,DetectionRate,Significance
CCR9,HSC_-G-CSF,4.29051439521188,0.5,38.19570634804738
CCR9,Pre-B_cell_CD34-,-0.08223171860706079,0.0,0.0
CST7,T_cells,-0.01956143718254482,0.08584686774941995,0.0
CST7,Monocyte,-0.24327306103639781,0.027522935779816515,46.982283497370986
CST7,NK_cell,2.4832736863914215,0.7017543859649122,584.3982255090551
CST7,B_cell,-0.2749562652694763,0.010752688172043012,7.778466563730818
CST7,HSC_-G-CSF,-0.2955266833406902,0.0,0.0
CST7,Pre-B_cell_CD34-,-0.2955266833406902,0.0,0.0
AFF2,T_cells,0.02651982124003995,0.02088167053364269,0.0
AFF2,Monocyte,-0.037963906436717425,0.01834862385321101,0.0
AFF2,NK_cell,-0.13391443685299945,0.0,0.0
AFF2,B_cell,0.04692382990518247,0.021505376344086023,0.0
AFF2,HSC_-G-CSF,4.396585140974799,0.5,40.18293058226266
AFF2,Pre-B_cell_CD34-,-0.13391443685299947,0.0,0.0
PAX5,T_cells,-0.2868882089875843,0.01160092807424594,65.13253359179225
PAX5,Monocyte,-0.2749611974516485,0.01834862385321101,60.796061792728764
PAX5,NK_cell,-0.27664776233183785,0.017543859649122806,4.632013180726307
PAX5,B_cell,2.8049005315303672,0.9139784946236559,3782.1146024348286
PAX5,HSC_-G-CSF,-0.31098536336837346,0.0,0.0
PAX5,Pre-B_cell_CD34-,-0.31098536336837346,0.0,0.0
GNLY,T_cells,0.016365147127871137,0.20417633410672853,0.0
GNLY,Monocyte,-0.319355063417176,0.10321100917431193,83.75467171626148
GNLY,NK_cell,2.8524501668423237,1.0,943.8040033466606
GNLY,B_cell,-0.3369928047272373,0.06451612903225806,11.729359027997228
GNLY,HSC_-G-CSF,0.5497326129316127,0.5,0.0
GNLY,Pre-B_cell_CD34-,-0.054454886155461235,0.3333333333333333,0.0
KLRD1,T_cells,-0.01391146001803501,0.09048723897911833,0.0
KLRD1,Monocyte,-0.258025794112083,0.022935779816513763,53.15930771367405
KLRD1,NK_cell,2.541736431666184,0.7719298245614035,629.4183307437523
KLRD1,B_cell,-0.2673397545999513,0.010752688172043012,7.3504331652931585
KLRD1,HSC_-G-CSF,-0.3042587853071283,0.0,0.0
KLRD1,Pre-B_cell_CD34-,-0.3042587853071283,0.0,0.0
NIBAN3,T_cells,-0.2552221809921267,0.02088167053364269,50.870201062184634
NIBAN3,Monocyte,-0.2482304181084178,0.02522935779816514,49.009519359890255
NIBAN3,NK_cell,-0.3094309985270245,0.0,5.801475994126725
NIBAN3,B_cell,2.4426738366735505,0.8064516129032258,1512.9520529818801
