feature,importance,feature_type
THEMIS,0.02930283606364649,RNA
TRAC,0.02551002217854309,RNA
BCL11B,0.025439568766070664,RNA
INPP4B,0.02420642408613061,RNA
CAMK4,0.02396318452334939,RNA
LEF1,0.02371264251879421,RNA
IL7R,0.02344968850352307,RNA
LYN,0.02262669679498656,RNA
PRKCH,0.021592881537564352,RNA
TC2N,0.02103406894161544,RNA
CD247,0.020852530455215627,RNA
ITK,0.020558609475325104,RNA
LRMDA,0.020523181637108732,RNA
MARCH1,0.020224558336878088,RNA
BNC2,0.020022588052442076,RNA
CD74,0.01997212862677095,RNA
PLXDC2,0.019894281378463306,RNA
LYZ,0.019838565870983996,RNA
SLC8A1,0.019691801669459334,RNA
HLA.DRA,0.019482396211045607,RNA
